"","runname","soil","precip.depth","runoff.depth","ET.depth","drainage.depth","runoff.precip","ET.precip","drainage.precip","amended.pixels","type","type.short","size","downspout.key","frontwalk.key","driveway.key","sidewalk.key","amended.area.m2","runoff.diff","ET.diff","drainage.diff","runoff.diff.precip","drainage.diff.precip","ET.diff.precip","runoff.diff.rel","ET.diff.rel","drainage.diff.rel"
"24","amend_feature_ds1_fw1_dw1_sw1","Clay Loam Soil",744.2532,244.306523119311,388.557958209093,146.398946780713,32.8257269326233,52.2077645361945,19.6705834493842,72,"All","a","s",1,1,1,1,18,-7.26889349347152,0.834174130618351,9.12958582845295,-0.00976669430977458,0.0122667740339618,0.00112082034799226,6.33431494623938,7.88272337862584,4.59256151558437
"25","amend_feature_ds3_fw0_dw0_sw0","Measured Soil",744.2532,9.60821743328104,353.798031237524,396.392805819921,1.29098772209257,47.5373207985568,53.2604771897414,36,"Downspout","ds","l",3,0,0,0,9,-5.17992648529792,0.352004914651161,4.63679775644022,-0.00695989817080789,0.00623013479342812,0.000472963924980317,48.0567473834856,1.0845402055309,96.1827030604772
"26","amend_feature_ds3_fw0_dw0_sw0","Clay Loam Soil",744.2532,241.593668370003,387.847513062925,151.915774917259,32.4612199678823,52.1123070835202,20.4118403410639,36,"Downspout","ds","l",3,0,0,0,9,-9.9817482427799,0.12372898445102,14.6464139649991,-0.0134117639571854,0.019679342950758,0.000166245821248763,8.69837164908613,1.16920595178696,7.3677556004061
"27","amend_feature_ds3_fw0_dw0_sw0","Loam Soil",744.2532,88.6697961334647,372.797631371718,343.719992591355,11.9139287722867,50.0901617046078,46.1832065473624,36,"Downspout","ds","l",3,0,0,0,9,-16.8581410974076,0.179111246042226,19.8871296780385,-0.0226510831225282,0.0267209192759111,0.000240659020400887,24.8515156368722,0.717155026056866,26.6403229613341
"28","amend_feature_ds3_fw1_dw1_sw1","Measured Soil",744.2532,8.52583282674739,354.895505056049,396.576830944206,1.14555541403751,47.6847805365229,53.2852033345918,104,"All","a","l",3,1,1,1,26,-6.26231109183157,1.44947873317568,4.82082288072598,-0.0084142212513585,0.00647739624193216,0.00194756130464159,58.098566269448,4.46589776949253,100
"29","amend_feature_ds3_fw1_dw1_sw1","Loam Soil",744.2532,84.5987495755696,373.460716395009,349.161332442863,11.3669312507584,50.1792557149917,46.9143206160031,104,"All","a","l",3,1,1,1,26,-20.9291876553027,0.842196269332987,25.3284695295467,-0.0281210583378112,0.0340320599623175,0.00113159912424023,30.8528699147482,3.37212375450788,33.929411599733
"30","amend_feature_ds3_fw1_dw1_sw1","Clay Loam Soil",744.2532,236.546611560592,388.541719548178,158.362407105856,31.7830829025112,52.2055826630208,21.2780283787635,104,"All","a","l",3,1,1,1,26,-15.0288050521904,0.817935469703059,21.093046153596,-0.0201931346108964,0.0283412233277546,0.00109900161625514,13.0965166227443,7.72927235762659,10.6106798086661
"31","amend_pixels_drain_0.25","Clay Loam Soil",744.2532,251.127642540355,387.777106566117,137.600436894555,33.7422321516865,52.10284706416,18.4883903615806,6,"Drain","d","n",0,0,0,0,1.5,-0.447774072427251,0.0533224876425606,0.331075942295286,-0.000601642119143392,0.000444843155925007,7.1645627647366e-05,0.390202718207639,0.503883307475531,0.166544973659425
"32","amend_pixels_drain_0.25","Measured Soil",744.2532,14.7882102915055,353.533531849193,391.694606793323,1.98698645723061,47.501781900191,52.6292136591852,6,"Drain","d","n",0,0,0,0,1.5,6.63729265006907e-05,0.087505526319319,-0.0614012701572051,8.91805725533874e-08,-8.25005121337807e-05,0.000117574941322817,0.000615774561859038,0.269607774066149,-1.27366782967057
"33","amend_pixels_drain_0.25","Loam Soil",744.2532,105.326479139325,372.691663861931,323.957120141985,14.1519685960806,50.0759236052907,43.5278101783083,6,"Drain","d","n",0,0,0,0,1.5,-0.201458091547494,0.073143736255588,0.12425722866908,-0.000270684884589672,0.000166955585369442,9.82780272299642e-05,0.296980484582423,0.292864905132235,0.166452009697517
"34","amend_pixels_drain_0.5","Clay Loam Soil",744.2532,250.934102411657,387.817730714829,137.584106904519,33.7162275434834,52.1083054415929,18.4861962171636,12,"Drain","d","n",0,0,0,0,3,-0.641314201125937,0.0939466363547012,0.314745952259671,-0.000861688201173924,0.000422901711755718,0.000126229401975969,0.558858942296525,0.887770693856821,0.158330309248942
"35","amend_pixels_drain_0.5","Loam Soil",744.2532,105.294254077022,372.7366671275,323.981863558507,14.1476387440487,50.0819703734562,43.5311347749002,12,"Drain","d","n",0,0,0,0,3,-0.233683153850023,0.118147001823672,0.149000645191165,-0.000313983404908469,0.000200201551288144,0.000158745708884654,0.344485226361673,0.473056371632975,0.199597698290431
"36","amend_pixels_drain_0.5","Measured Soil",744.2532,14.7884933856967,353.572820515095,391.677376823086,1.98702449458016,47.5070608383135,52.6268985908405,12,"Drain","d","n",0,0,0,0,3,0.000349467117732871,0.126794192222121,-0.0786312403948841,4.69554068068328e-07,-0.000105651195580864,0.000170364322547919,0.00324217979606278,0.390657611780736,-1.63107507453256
"37","amend_pixels_drain_1","Loam Soil",744.2532,105.115814836976,372.83072111769,324.229331383513,14.1236631346665,50.0946077380238,43.5643852634443,25,"Drain","d","n",0,0,0,0,6.25,-0.412122393896254,0.212200992013663,0.39646847019668,-0.000553739498730075,0.000532706436729705,0.000285119354560603,0.607532352294343,0.849645185992257,0.53109967406153
"38","amend_pixels_drain_1","Clay Loam Soil",744.2532,249.948014836485,387.828433521252,139.388516884936,33.5837339814575,52.109743501439,18.728641930587,25,"Drain","d","n",0,0,0,0,6.25,-1.62740177629803,0.104649442777202,2.11915593267599,-0.00218662382143339,0.0028473588459895,0.00014061000043695,1.41816294383726,0.988909364197763,1.06602360334886
"39","amend_pixels_drain_1","Measured Soil",744.2532,14.7882014286862,353.730395341193,391.559092089798,1.98698526639673,47.5282330450435,52.6110055139565,25,"Drain","d","n",0,0,0,0,6.25,5.75101072488593e-05,0.284369018320149,-0.196915973682621,7.72722337624605e-08,-0.000264581964421008,0.000382086389847096,0.000533549791469027,0.876151498853905,-4.08469629676515
"40","amend_pixels_drain_10","Clay Loam Soil",744.2532,230.401606945747,389.100106718059,165.507670433227,30.9574224129297,52.2806091687693,22.2380865051338,248,"Drain","d","n",0,0,0,0,62,-21.1738096670359,1.37632263958471,28.2383094809668,-0.0284497395067107,0.0379418045914574,0.00184926667374049,18.451443698163,13.0058824043659,14.2050445468484
"41","amend_pixels_drain_10","Measured Soil",744.2532,8.64367551721818,356.686961480541,395.422641266103,1.16138909677757,47.9254857729252,53.1301230906502,248,"Drain","d","n",0,0,0,0,62,-6.14446840136078,3.24093515766742,3.66663320262228,-0.00825588442395784,0.00492659380251543,0.00435461366866467,57.0052811768856,9.9854414972935,76.0582434439099
"42","amend_pixels_drain_10","Loam Soil",744.2532,84.9530440037793,374.97433599334,349.550537915509,11.4145352688815,50.3826299965308,46.966615382441,248,"Drain","d","n",0,0,0,0,62,-20.574893227093,2.35581586766415,25.7176750021933,-0.0276450181565803,0.0345550076266966,0.00316534193963042,30.3305849562919,9.4326025154309,34.4507819361007
"43","amend_pixels_drain_2.5","Measured Soil",744.2532,13.0623214646663,354.211050755948,392.933594164541,1.75509107178394,47.5928152886608,52.7956875650035,62,"Drain","d","n",0,0,0,0,15.5,-1.72582245391266,0.765024433074359,1.17758610106046,-0.00231886467389413,0.00158223854604919,0.00102790882602098,16.0113109581434,2.35706866963737,24.4270766671087
"44","amend_pixels_drain_2.5","Loam Soil",744.2532,100.587265738026,373.203374040412,329.385561871738,13.5151942562056,50.1446784562581,44.2571912182222,62,"Drain","d","n",0,0,0,0,15.5,-4.94067149284595,0.584853914735845,5.5526989584219,-0.00663842828333953,0.0074607659845089,0.000785826536904168,7.28331636042548,2.34173416650211,7.43826263288153
"45","amend_pixels_drain_2.5","Clay Loam Soil",744.2532,246.405251378818,388.102348372972,143.975560159947,33.107718096317,52.1465474885392,19.3449702547395,62,"Drain","d","n",0,0,0,0,15.5,-5.17016523396461,0.378564294498005,6.70619920768706,-0.0069467826728385,0.00901064208751412,0.000508649871438921,4.50542506166073,3.57733176446071,3.37349721836012
"46","amend_pixels_drain_25","Loam Soil",744.2532,71.0209862451888,378.610284392214,366.49584399259,9.54258392778006,50.8711664783186,49.2434354319995,620,"Drain","d","n",0,0,0,0,155,-34.5069509856834,5.99176426653798,42.6629810792741,-0.0463645315675948,0.0573232081222816,0.00805070675750939,50.8685997493144,23.9908099220225,57.1503084077666
"47","amend_pixels_drain_25","Measured Soil",744.2532,6.95666316223204,361.65588806216,393.36791953581,0.934717265875652,48.5931250362323,52.8540447707595,620,"Drain","d","n",0,0,0,0,155,-7.83148075634692,8.20986173928651,1.61191147232972,-0.0105226027329771,0.00216581060360872,0.0110310063017351,72.6565315964609,25.2948887004318,33.4364383884392
"48","amend_pixels_drain_25","Clay Loam Soil",744.2532,208.382852469437,390.977549729252,198.100578160703,27.9989192481049,52.5328678102092,26.6173633060231,620,"Drain","d","n",0,0,0,0,155,-43.1925641433457,3.25376565077721,60.8312172084433,-0.0580347711549586,0.0817345726003506,0.00437185308813884,37.6391956857428,30.7472188629713,30.6006331883065
"49","amend_pixels_drain_5","Measured Soil",744.2532,9.36630951705372,355.082988261549,395.738072092279,1.25848427887898,47.7099713191088,53.1725052834545,124,"Drain","d","n",0,0,0,0,31,-5.42183440152524,1.63696193867611,3.98206402879839,-0.00728493260294378,0.00535041573055835,0.00219946913050036,50.3010471149968,5.04354048345444,82.6013344053561
"50","amend_pixels_drain_5","Clay Loam Soil",744.2532,238.042957360343,388.428792942844,156.738792505323,31.9841362268033,52.1904095196157,21.0598748524458,124,"Drain","d","n",0,0,0,0,31,-13.5324592524398,0.705008864369745,19.4694315530633,-0.018182601367975,0.0261596880645771,0.000947270182203778,11.7925594836535,6.66214601163225,9.79393411278704
"51","amend_pixels_drain_5","Loam Soil",744.2532,89.4236223719591,373.777214065861,344.326045145593,12.0152150332654,50.2217812521143,46.2646375112116,124,"Drain","d","n",0,0,0,0,31,-16.1043148589132,1.15869394018472,20.4931822322768,-0.0216382205127411,0.0275352289144028,0.00155685449546568,23.7402587998826,4.63936911403768,27.4521764584368
"52","amend_pixels_drain_50","Loam Soil",744.2532,56.7842564725364,385.051091515543,380.007406190879,7.6296959788062,51.7365718434993,51.0588877805132,1240,"Drain","d","n",0,0,0,0,310,-48.7436807583358,12.4325713898669,56.1745432775628,-0.0654934110573335,0.0754777316074191,0.0167047604093162,71.8557483630724,49.7795713896818,75.2500737586238
"53","amend_pixels_drain_50","Measured Soil",744.2532,5.47560163323045,369.995298213971,387.854038377443,0.735717580150203,49.71363216362,52.1131838435419,1240,"Drain","d","n",0,0,0,0,310,-9.31254228534851,16.5492718910976,-3.90196968603709,-0.0125125995902315,-0.00524279866856749,0.0222360775756122,86.3970740463669,50.98892086761,-80.939909691299
"54","amend_pixels_drain_50","Clay Loam Soil",744.2532,180.646942526603,394.132506096414,251.397133194868,24.2722426355175,52.9567768195573,33.7784416909283,1240,"Drain","d","n",0,0,0,0,310,-70.9284740861794,6.40872201793906,114.127772242608,-0.0953015372808333,0.153345356449402,0.00861094318162025,61.8090351607927,60.5607163104837,57.4110178171793
"55","amend_pixels_rand_0.25","Measured Soil",744.2532,14.7865121759897,353.483692558538,391.708335286208,1.9867582935471,47.4950853497893,52.6310582589646,6,"Random","r","n",0,0,0,0,1.5,-0.0016317425892538,0.0376662356645738,-0.0476727772721688,-2.19245626253781e-06,-6.4054514340239e-05,5.06094373051723e-05,0.0151384853876232,0.116051069939508,-0.988892943210342
"56","amend_pixels_rand_0.25","Clay Loam Soil",744.2532,251.496610881982,387.723194037272,137.376376405354,33.7918077990101,52.0956032217627,18.4582849499813,6,"Random","r","n",0,0,0,0,1.5,-0.0788057308006387,-0.000590041202258362,0.107015453094732,-0.000105885645907386,0.000143789039932555,-7.92796325576245e-07,0.0686734946533658,-0.00557573222265564,0.0538332253719524
"57","amend_pixels_rand_0.25","Loam Soil",744.2532,105.462233472635,372.682284503766,323.837618929915,14.1702089386563,50.0746633677579,43.5117536518372,6,"Random","r","n",0,0,0,0,1.5,-0.0657037582369639,0.0637643780903545,0.00475601659883296,-8.82814588327789e-05,6.3903206581214e-06,8.56756519022753e-05,0.0968575340420109,0.255310290343843,0.00637104601084256
"58","amend_pixels_rand_0.5","Measured Soil",744.2532,14.7520277757578,353.553482644813,391.693063565765,1.98212487037446,47.5044625464578,52.6290063066931,12,"Random","r","n",0,0,0,0,3,-0.036116142821168,0.107456321940163,-0.0629444977153071,-4.85266879889372e-05,-8.45740370552751e-05,0.000144381403990151,0.335067371505937,0.331076915781336,-1.30567953381909
"59","amend_pixels_rand_0.5","Clay Loam Soil",744.2532,250.771827002924,387.780141501778,138.127887915731,33.6944237529545,52.1032548468422,18.5592601974343,12,"Random","r","n",0,0,0,0,3,-0.803589609858506,0.0563574233039503,0.858526963471292,-0.00107972610646283,0.00115354151446214,7.57234544694606e-05,0.7002702242014,0.53256264121719,0.431874782341347
"60","amend_pixels_rand_0.5","Loam Soil",744.2532,105.158048692509,372.722458485012,324.172467329803,14.1293377969365,50.0800612593956,43.5567448456793,12,"Random","r","n",0,0,0,0,3,-0.369888538363099,0.103938359336439,0.339604416487191,-0.000496992876030764,0.000456302259079559,0.000139654568279235,0.545273096358408,0.416165475062683,0.454925948630236
"61","amend_pixels_rand_1","Loam Soil",744.2532,105.048506062114,372.856347906951,324.193603309196,14.1146193341344,50.098051027117,43.5595847366456,25,"Random","r","n",0,0,0,0,6.25,-0.479431168758651,0.237827781274859,0.3607403958801,-0.000644177504051916,0.00048470116874217,0.00031955224549234,0.706755929871873,0.952253934055089,0.483239200781099
"62","amend_pixels_rand_1","Clay Loam Soil",744.2532,250.482802390059,387.83982046908,138.467978106516,33.6555895748999,52.1112734844915,18.6049556933737,25,"Random","r","n",0,0,0,0,6.25,-1.09261422272388,0.116036390605132,1.19861715425608,-0.00146806788700926,0.00161049647385605,0.000155909830962274,0.952134270187008,1.09651298862073,0.602954298036163
"63","amend_pixels_rand_1","Measured Soil",744.2532,14.7411244194632,353.744620928716,391.553963167638,1.98065986407089,47.5301444358877,52.6103163772272,25,"Random","r","n",0,0,0,0,6.25,-0.0470194991157413,0.298594605842993,-0.202044895842789,-6.31767510247068e-05,-0.000271473331713977,0.000401200298289605,0.436223216201349,0.919981061947116,-4.19108730691144
"64","amend_pixels_rand_10","Clay Loam Soil",744.2532,240.959372491823,389.099485464726,149.344387596023,32.3759941498167,52.2805256953851,20.0663413467383,248,"Random","r","n",0,0,0,0,62,-10.6160441209593,1.37570138625136,12.0750266437635,-0.0142640221378414,0.0162243530075027,0.00184843193989809,9.25111463054518,13.0000117258168,6.07424079315561
"65","amend_pixels_rand_10","Measured Soil",744.2532,13.119373042299,356.70038864973,390.865139386835,1.7627566858025,47.9272898859864,52.517764033374,248,"Random","r","n",0,0,0,0,62,-1.66877087627993,3.25436232685689,-0.890868676645766,-0.0022422085337086,-0.00119699677024669,0.0043726547992765,15.482015173366,10.0268111038709,-18.4795977509883
"66","amend_pixels_rand_10","Loam Soil",744.2532,99.5487578483897,375.039544012031,329.312749356206,13.3756573499972,50.3913915334232,44.247407919268,248,"Random","r","n",0,0,0,0,62,-5.97917938248254,2.42102388635527,5.47988644288984,-0.00803379734542296,0.00736293299496708,0.00325295730855477,8.81423812156127,9.69369309113113,7.3407247296846
"67","amend_pixels_rand_2.5","Loam Soil",744.2532,104.572375760913,373.204924507872,324.564176242957,14.0506450977857,50.1448867815244,43.6093759815822,62,"Random","r","n",0,0,0,0,15.5,-0.955561469959235,0.586404382196179,0.731313329641068,-0.00128391986753868,0.000982613618108822,0.000787909789566479,1.40864586881031,2.3479421827852,0.979649833986915
"68","amend_pixels_rand_2.5","Measured Soil",744.2532,14.6492360184878,354.212266374179,391.287164203873,1.96831347429716,47.5929786226219,52.5744685012941,62,"Random","r","n",0,0,0,0,15.5,-0.138907900091198,0.76624005130617,-0.468843859606977,-0.000186640648762004,-0.00062995209104506,0.00102954216563149,1.28871749110725,2.36081403452321,-9.72539068965696
"69","amend_pixels_rand_2.5","Clay Loam Soil",744.2532,249.04303159658,388.088525167321,139.763566202591,33.4621378311278,52.1446901628802,18.7790346353352,62,"Random","r","n",0,0,0,0,15.5,-2.53238501620311,0.364741088846927,2.49420525033094,-0.00340258532472969,0.00335128589347138,0.000490076614849525,2.20679038318211,3.44670615242868,1.25468901436237
"70","amend_pixels_rand_25","Clay Loam Soil",744.2532,220.479667885778,391.14176247532,177.514104036056,29.6242821509908,52.5549319069532,23.8513054476698,620,"Random","r","n",0,0,0,0,155,-31.0957487270048,3.41797839684585,40.2447430837968,-0.0417811421261001,0.0540739940168169,0.00459249405557928,27.0976959702158,32.298985580484,20.2447801865449
"71","amend_pixels_rand_25","Loam Soil",744.2532,85.2338668737808,378.559518301459,349.027607467626,11.4522674371814,50.8643454003905,46.8963529438134,620,"Random","r","n",0,0,0,0,155,-20.2940703570915,5.94099817578297,25.1947445543097,-0.0272676964735812,0.033852383240421,0.00798249597822752,29.9166084742641,23.7875443094901,33.7502768233231
"72","amend_pixels_rand_25","Measured Soil",744.2532,10.2336285055292,361.611497716598,390.134250823565,1.37501975208561,48.5871606217612,52.4195597443941,620,"Random","r","n",0,0,0,0,155,-4.55451541304977,8.16547139372466,-1.62175723991521,-0.00611957787087751,-0.00217903966004474,0.0109713621570249,42.2544986459467,25.1581203983558,-33.6406725581875
"73","amend_pixels_rand_5","Measured Soil",744.2532,14.5945300437118,355.035881327087,390.741459474651,1.96096302222306,47.7036418959417,52.50114604474,124,"Random","r","n",0,0,0,0,31,-0.193613874867143,1.58985500421386,-1.01454858882937,-0.000260145169502991,-0.00136317665658592,0.00213617489882994,1.79625195470182,4.89840227015918,-21.0451330391252
"74","amend_pixels_rand_5","Loam Soil",744.2532,103.772822844832,373.802372929565,325.546258385628,13.9432148689226,50.2251616693841,43.74133136218,124,"Random","r","n",0,0,0,0,31,-1.75511438604026,1.1838528038889,1.71339547231207,-0.00235822215616978,0.00230216742408642,0.00159065866816414,2.58731092337851,4.74010430489821,2.29522356830045
"75","amend_pixels_rand_5","Clay Loam Soil",744.2532,246.80747298233,388.437063627957,142.582220242568,33.1617617475248,52.1915207926492,19.157757096989,124,"Random","r","n",0,0,0,0,31,-4.76794363045309,0.713279549482365,5.31285929030838,-0.00640634616075966,0.00713851051000974,0.000958382912538858,4.15491802546442,6.74030178331289,2.67258926887374
